post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
187047792.bloodbath-and-beyond-the-red-wedding,2026-02-06T03:49:13.861Z,true,2026-02-06T03:49:14.078Z,2026-02-06T03:49:14.078Z,newsletter,everyone,Bloodbath & Beyond the Red Wedding For Growth Stocks,"Value held the line, but Growth got gutted. Here’s how to stop the bleeding, trade against your own book, and use ""rock bottom"" to build resilience.",
186522448.the-dash-to-cash,2026-02-01T18:51:50.047Z,true,2026-02-01T18:51:50.235Z,2026-02-01T18:51:50.235Z,newsletter,only_paid,The Dash To Cash,What's Even Valuable Anymore?,
186273397.the-glossary-of-technical-data,2026-01-30T05:19:37.386Z,true,2026-01-30T05:19:37.597Z,2026-01-30T05:19:37.597Z,newsletter,everyone,The Glossary Of Technical Data,"Everything I collect in my screens, everyday, with the magic of Python and cron",
185799323.the-screens,,false,,,newsletter,only_paid,,,
185667325.first-live-pretend-im-a-fancy-title,2026-01-25T20:13:35.429Z,true,2026-01-25T20:13:35.707Z,2026-01-25T20:13:35.707Z,podcast,everyone,"First Live, Pretend I'm a Fancy Title! w/Freeballer",A recording from mphinance's live video,
185650135.institutional-trading-styles,2026-01-24T17:45:37.195Z,true,2026-01-24T17:45:37.351Z,2026-01-24T17:45:37.351Z,newsletter,everyone,Institutional Trading Styles,Examining Institutions and their styles,
185489562.window-zero-your-ai-assistant-for,2026-01-23T03:25:01.149Z,true,2026-01-23T03:25:01.313Z,2026-01-23T03:25:01.313Z,newsletter,everyone,"WINDOW ZERO - Your AI Assistant for ""Meta Prompting""",I always use one AI to program the next one. Here's a free tool to turn your vague ideas into perfect prompts.,
185347516.my-strategy-to-rule-the-galaxy,2026-01-21T21:35:18.186Z,true,2026-01-21T21:35:18.552Z,2026-01-21T21:35:18.552Z,newsletter,everyone,MY STRATEGY TO RULE THE GALAXY,Galaxy Digital added to the Phund yesterday - a little revisit,
185116156.is-amkor-the-ai-wrapper-we-have-been,2026-01-19T22:09:14.522Z,true,2026-01-19T22:09:14.806Z,2026-01-19T22:09:14.806Z,newsletter,only_paid,"Is Amkor the AI ""Wrapper"" We Have Been Waiting For? - Momentum Phund Phriday Purchase","The Unsung Hero of the AI ""Unboxing"" Experience",
184655482.the-momentum-phinance-interactive,2026-01-15T13:43:58.612Z,true,2026-01-15T13:43:58.782Z,2026-01-15T13:43:58.782Z,newsletter,only_paid,THE MOMENTUM PHINANCE INTERACTIVE ARCHIVE,All my writing and post history wrapped up into one LLM,
184460573.tactical-swing-idea-fnb-corporation,2026-01-13T18:04:49.512Z,true,2026-01-13T18:04:49.698Z,2026-01-13T18:04:49.698Z,newsletter,everyone,Tactical Swing Idea: F.N.B. Corporation (FNB) – Catching the Bounce in a Bullish Trend,"Date: January 13, 2026
Ticker: $FNB
Current Price: $17.20
Sector: Regional Banks",
184325912.locking-in-profits-with-stop-losses,2026-01-12T15:50:49.259Z,true,2026-01-12T15:50:49.425Z,2026-01-12T15:50:49.425Z,newsletter,everyone,LOCKING IN PROFITS WITH STOP LOSSES,Keeping our $BABW profits with stop losses,
184319684.momentum-phund-selling-first-cash,2026-01-12T14:52:22.814Z,true,2026-01-12T14:52:22.993Z,2026-01-12T14:52:22.993Z,newsletter,everyone,MOMENTUM PHUND SELLING FIRST CASH SECURED PUT,Selling Puts for income on Richtech Robotics,
184227315.parallel-processing-my-feelings-about,2026-01-11T17:49:54.136Z,true,2026-01-11T17:49:54.375Z,2026-01-11T17:49:54.375Z,newsletter,only_paid,Parallel Processing My Feelings About NVDA,Exploring $NVDA with NotebookLM and why Less is More,
184087050.direct-dispatch-to-the-grandfather,2026-01-10T02:14:38.850Z,true,2026-01-10T02:14:39.110Z,2026-01-10T02:14:39.110Z,newsletter,everyone,Direct Dispatch to the Grandfather of Drones,Why Your Son @Drone_Daddy Is A Hero,
183982614.content-warning-feelings-ahead,2026-01-09T03:19:26.995Z,true,2026-01-09T03:19:27.160Z,2026-01-09T03:19:27.160Z,newsletter,everyone,CONTENT WARNING: FEELINGS AHEAD,No Tickers. No Charts. Feelings Ahead.,
183662406.the-greatest-trade-i-ever-made,2026-01-06T12:18:11.474Z,true,2026-01-06T12:18:11.688Z,2026-01-06T12:18:11.688Z,newsletter,everyone,THE GREATEST TRADE I EVER MADE,Why I’m Trading the Mask for Reality,
183345606.the-nasdaq-income-evolution,2026-01-03T14:42:01.561Z,true,2026-01-03T14:42:01.833Z,2026-01-03T14:42:01.833Z,newsletter,everyone,THE NASDAQ INCOME EVOLUTION,From QYLD to QQQI and the 0DTE Wild West,
183169247.the-silicon-seven,2026-01-01T19:44:07.088Z,true,2026-01-01T19:44:07.286Z,2026-01-01T19:44:07.286Z,newsletter,everyone,THE SILICON SEVEN,A Complete Guide to the Semiconductor Supercycle,
183164150.outfitting-an-urbn-trade,2026-01-01T19:00:06.317Z,true,2026-01-01T19:00:06.482Z,2026-01-01T19:00:06.482Z,newsletter,everyone,OUTFITTING AN $URBN TRADE,"$URBN is demonstrating significant relative strength, and looks ready for entry",
183082875.ultimate-stacked-bulls-screener,2025-12-31T19:34:07.927Z,true,2025-12-31T19:34:08.158Z,2025-12-31T19:34:08.158Z,newsletter,only_paid,ULTIMATE STACKED BULLS SCREENER,Complete Structure Trend Alignment On All Timeframes,
183001313.the-wiqs-methodology-a-comprehensive,2025-12-30T22:10:02.022Z,true,2025-12-30T22:10:02.272Z,2025-12-30T22:10:02.272Z,newsletter,only_paid,THE WIQS METHODOLOGY: A COMPREHENSIVE GUIDE TO HIGH-YIELD AUDITING,INTRODUCTION TO WIQS: WHY YOUR YIELD IS LYING TO YOU,
182816288.the-robotics-gold-rush,2025-12-29T00:25:00.728Z,true,2025-12-29T00:25:00.886Z,2025-12-29T00:25:00.886Z,newsletter,only_paid,THE ROBOTICS GOLD RUSH,"Sorting the ""Moonshots"" from the ""Money-Makers""",
182782362.give-me-a-lever-and-a-call-option,2025-12-28T17:05:24.085Z,true,2025-12-28T17:05:24.230Z,2025-12-28T17:05:24.230Z,newsletter,everyone,GIVE ME A LEVER AND A CALL OPTION,Exploring Leverage of Options with $HOOD Share Exposure vs. LEAPS,
182721213.building-a-position-the-phinancial,2025-12-27T20:21:06.167Z,true,2025-12-27T20:21:06.339Z,2025-12-27T20:21:06.339Z,newsletter,only_paid,BUILDING A POSITION THE PHINANCIAL WAY,Challenge the paradigm! Alternate ways to build a stock position,
182622619.post-holiday-deep-cleaning-with-clx,2025-12-26T12:04:56.615Z,true,2025-12-26T12:04:56.871Z,2025-12-26T12:04:56.871Z,newsletter,everyone,POST-HOLIDAY DEEP CLEANING WITH $CLX,"While everyone else is scrubbing the floors, we are looking at the balance sheet. Here is the 2026 drill for the ultimate ""blood in the streets"" dividend play.",
182371955.new-to-swing-trading-i-put-together,2025-12-22T23:05:07.068Z,true,2025-12-22T23:05:07.313Z,2025-12-22T23:05:07.313Z,newsletter,everyone,NEW TO SWING TRADING? I PUT TOGETHER A LOW-RISK WAY TO PUT MY STYLE INTO ACTION,Roundhill Weekly Pay ETFs provide a balance between 2x LETF decay and expensive underlying shares & options,
182241552.phinance-on-finances,2025-12-21T15:45:12.741Z,true,2025-12-21T15:45:12.948Z,2025-12-21T15:45:12.948Z,newsletter,everyone,PHINANCE ON FINANCES,Some thoughts.,
182236636.the-ai-research-landscape-late-2025,2025-12-21T14:05:23.752Z,true,2025-12-21T14:05:23.950Z,2025-12-21T14:05:23.950Z,newsletter,everyone,THE AI RESEARCH LANDSCAPE (LATE 2025): Beyond NotebookLM,In Search Of The Best LM Sidekick,
182214702.what-the-hell-is-an-option-and-how,2025-12-21T04:16:55.792Z,true,2025-12-21T04:16:55.930Z,2025-12-21T04:16:55.930Z,newsletter,everyone,WHAT THE HELL IS AN OPTION? (AND HOW DO I SELL ONE?),Option Selling - The Basics!,
182141233.my-1-year-afterhour-anniversary,2025-12-20T02:04:47.950Z,true,2025-12-20T02:04:48.190Z,2025-12-20T02:04:48.190Z,newsletter,everyone,MY 1 YEAR AfterHour ANNIVERSARY,"A year ago today I joined an investing app and created an ""ETF"" (Fidelity Basket) - these are those results.",
182036752.finding-your-authentic-swing-what,2025-12-18T23:14:14.957Z,true,2025-12-18T23:14:15.210Z,2025-12-18T23:14:15.210Z,newsletter,everyone,FINDING YOUR AUTHENTIC SWING: What Type of Trader Are You?,Thoughts from one of my childhood favorites on the game of golf (and life).,
181839444.mli-the-copper-plated-compounder,2025-12-17T00:57:20.239Z,true,2025-12-17T00:57:20.738Z,2025-12-17T00:57:20.738Z,newsletter,only_paid,$MLI: THE COPPER-PLATED COMPOUNDER,A Fortress Balance Sheet in a Cyclical Storm & a Lesson in NotebookLLM,
181713266.does-the-phund-sell-options-now-or,2025-12-15T18:45:08.358Z,true,2025-12-15T18:45:08.536Z,2025-12-15T18:45:08.536Z,newsletter,everyone,"DOES THE PHUND SELL OPTIONS NOW, OR WAIT? - PLEASE VOTE!","Staying at IBKR means ""swing trading only"" until we hit $25k. Moving allows us to sell premium starting Day 1.",
181618457.addicted-to-losing,2025-12-14T20:37:17.093Z,true,,,newsletter,everyone,ADDICTED TO LOSING,Why the skills that saved my life are the exact same ones needed to survive the charts.,
181539212.trading-journal-for-the-momentum,2025-12-13T20:27:29.312Z,true,2025-12-13T20:27:29.482Z,2025-12-13T20:27:29.482Z,newsletter,everyone,TRADING JOURNAL FOR THE MOMENTUM PHUND,"Finding ""The One"": Why I Finally Stopped Dating Around for Trading Journals",
181355484.weekly-dividend-ladder-aka-lazy-traders,2025-12-11T18:25:54.994Z,true,2025-12-11T18:25:55.218Z,2025-12-11T18:25:55.218Z,newsletter,everyone,WEEKLY DIVIDEND LADDER AKA LAZY TRADER'S UPGRADE PATH,Progressive Portfolio Building through Dividend Tiers,
180908902.momentum-phinance-phinancials,2025-12-06T20:25:39.806Z,true,2025-12-06T20:25:39.990Z,2025-12-06T20:25:39.990Z,newsletter,everyone,MOMENTUM PHINANCE PHINANCIALS,How to read financial statements with an example straight from here!,
180898461.rolling-wheels-the-kurv-way,2025-12-06T17:57:48.312Z,true,2025-12-06T17:57:48.455Z,2025-12-06T17:57:48.455Z,newsletter,everyone,ROLLING WHEELS THE KURV WAY,An Analysis of $KYLD Weekly Trades,
180765741.investing-serenity-control-what-you,2025-12-05T03:17:49.813Z,true,2025-12-05T03:17:49.977Z,2025-12-05T03:17:49.977Z,newsletter,everyone,INVESTING SERENITY - CONTROL WHAT YOU CAN,Focusing On What We Can Control,
180653029.the-growth-vs-income-showdown-analyzing,2025-12-03T23:57:21.216Z,true,2025-12-03T23:57:21.379Z,2025-12-03T23:57:21.379Z,newsletter,only_paid,THE GROWTH VS INCOME SHOWDOWN - ANALYZING THE TRADE-OFFS,And are NEOS Funds coming after JPMorgan?,
180601341.go-figure-the-only-ipo-that-actually,2025-12-03T13:52:57.191Z,true,2025-12-03T13:52:57.364Z,2025-12-03T13:52:57.364Z,newsletter,everyone,GO FIGURE: THE ONLY IPO THAT ACTUALLY MAKES MONEY?,Just a little DD on $FIGR,
180562849.reading-technicals-the-easy-way-without,2025-12-03T01:38:23.092Z,true,2025-12-03T01:38:23.259Z,2025-12-03T01:38:23.259Z,newsletter,everyone,READING TECHNICALS THE EASY WAY - WITHOUT THE CHART,Using $BBAI to show a different way to read and use technicals,
180547790.drip-feeding-financial-freedom,2025-12-02T22:11:37.727Z,true,2025-12-02T22:11:37.975Z,2025-12-02T22:11:37.975Z,newsletter,everyone,DRIP-FEEDING FINANCIAL FREEDOM,Why Yield On Cost (YOC) Is The Most Important Dividend Metric,
180401572.avgo-the-ai-kingmaker-hiding-in-plain,2025-12-01T13:29:22.296Z,true,2025-12-01T13:29:22.473Z,2025-12-01T13:29:22.473Z,newsletter,everyone,🎲 $AVGO: THE AI KINGMAKER HIDING IN PLAIN SIGHT,A little due diligence on the best stock in the market,
180363086.the-professional-start-ibkr-and-relay,2025-12-01T00:52:17.883Z,true,,,newsletter,everyone,The Professional Start: IBKR and Relay for the Sub-$1k LLC,Business and Tech Stack for Momentum Phinance Phund,
180280690.plumpy-and-the-art-of-portfolio-destruction,2025-11-29T22:50:50.870Z,true,2025-11-29T22:50:51.058Z,2025-11-29T22:50:51.058Z,newsletter,everyone,PLUMPY AND THE ART OF PORTFOLIO DESTRUCTION 🍭,"""How one terrible, impulsive decision is exactly like drawing the 'Plumpy' card: erasing months of effort just when you thought the finish line was going to go down on you.""",
180114339.master-wheeling-watchlist-1127,2025-11-27T15:55:21.535Z,true,2025-11-27T15:55:21.702Z,2025-11-27T15:55:21.702Z,newsletter,everyone,MASTER WHEELING WATCHLIST 11/27,"Wheeling Watchlist from 4 funds (ULTY, ULTI, KYLD, and BLOX), and 3 Professional Traders (RISE, BOBD, MPH - yours truly)",
180074848.under-the-hood-the-operating-manual,2025-11-27T02:33:29.076Z,true,2025-11-27T02:33:29.182Z,2025-11-27T02:33:29.182Z,newsletter,everyone,Under the Hood: The Operating Manual for the Momentum Phinance Phund,"How your $13 moves from a subscription into the market. The mechanics, the math, and the scale.",
180060462.the-art-of-the-losing-trade-consolidation,2025-11-26T21:37:20.636Z,true,,,newsletter,everyone,THE ART OF THE LOSING TRADE: CONSOLIDATION,Sometimes you have to cut the dead weight to let the rest float,
179851000.a-trio-of-trouble-in-the-triage,2025-11-24T19:51:31.095Z,true,,,newsletter,everyone,A TRIO OF TROUBLE IN THE TRIAGE,How to manage multiple losing positions,
179752689.the-ugly-house-phase-of-wealth-why,2025-11-23T20:21:20.898Z,true,2025-11-23T20:21:21.092Z,2025-11-23T20:21:21.092Z,newsletter,everyone,"THE ""UGLY HOUSE"" PHASE OF WEALTH - WHY YOU NEED TO STOP STARING AT THE DRYWALL",Stop judging your wealth by price action (the drywall) and start judging it by fundamentals (the foundation). A lesson on ignoring the noise.,
179698351.self-funding-theta-ladder-from-onds,2025-11-23T04:00:16.978Z,true,2025-11-23T04:00:17.451Z,2025-11-23T04:00:17.451Z,newsletter,everyone,SELF-FUNDING THETA LADDER FROM $ONDS,,
179664037.mining-cost-per-btc-of-major-mining,2025-11-22T18:30:25.395Z,true,2025-11-22T18:30:25.501Z,2025-11-22T18:30:25.501Z,newsletter,everyone,MINING COST PER BTC OF MAJOR MINING COMPANIES,How much does it cost to mine a Bitcoin these days?,
179604254.tradingview-black-friday-deal-and,2025-11-21T23:16:40.082Z,true,2025-11-21T23:16:40.552Z,2025-11-21T23:16:40.552Z,newsletter,everyone,TRADINGVIEW BLACK FRIDAY DEAL & AFFILIATE PROGRAM,,
179571452.making-green-on-red-days-debit-put,2025-11-21T16:37:20.858Z,true,2025-11-21T16:37:21.067Z,2025-11-21T16:37:21.067Z,newsletter,everyone,MAKING GREEN ON RED DAYS - DEBIT PUT SPREADS,Roasting marshmallows while the market burns.,
179407633.gathering-magic-future-gains,2025-11-19T23:45:42.395Z,true,2025-11-19T23:45:42.634Z,2025-11-19T23:45:42.634Z,newsletter,everyone,GATHERING MAGIC FUTURE GAINS,$HAS DD,
179100944.the-richest-man-in-babylon,2025-11-17T01:49:48.672Z,true,,,newsletter,everyone,THE RICHEST MAN IN BABYLON,,
179077772.tradingview-screener-dividends,2025-11-16T20:04:42.374Z,true,2025-11-16T20:04:42.540Z,2025-11-16T20:04:42.540Z,newsletter,everyone,TRADINGVIEW SCREENER - DIVIDENDS,Find high-quality companies with a great yield,
178600318.earnings-are-mostly-bullh1t,2025-11-11T14:22:03.233Z,true,2025-11-11T14:22:03.357Z,2025-11-11T14:22:03.357Z,newsletter,everyone,EARNINGS ARE (MOSTLY) BULL$H1T,"CFOs Determine ""Earnings"" More Than Company Results",
178240125.money-happiness-and-this-f___ing,2025-11-07T02:57:13.417Z,true,2025-11-07T02:57:13.561Z,2025-11-07T02:57:13.561Z,newsletter,everyone,"MONEY, HAPPINESS, & THIS F___ING GAME",Of life & money,
178082812.a-beginners-guide-to-foundational,2025-11-05T14:26:14.361Z,true,2025-11-05T14:26:14.517Z,2025-11-05T14:26:14.517Z,newsletter,everyone,A Beginner’s Guide to Foundational Trading Concepts,Technical & Psychological Lessons from an Old Dude,
177943313.to-the-new-traders,2025-11-04T00:40:32.447Z,true,,,newsletter,everyone,TO THE NEW TRADERS,My Thomas Jefferson inspired advice,
177724054.losses-are-only-as-bad-as-you-make,2025-11-01T12:20:20.814Z,true,,,newsletter,everyone,LOSSES ARE ONLY AS BAD AS YOU MAKE THEM,,
